,Days NO to DE,Days DE to NO,CO2,Norwegian Balance,Norwegian export
0,43.0,5.0,108.61949475987332,1.7393132804638796,6.617533541221928
1,46.0,0.0,119.80869595251751,3.9368359409911533,9.719963578618069
2,37.0,1.0,113.46214237443756,-1.811023387415746,4.72543059398582
3,34.0,3.0,128.49240031219983,-1.965948145246625,5.08895517256304
4,40.0,3.0,118.32037209341948,2.259062048016098,6.691145811981042
5,32.0,7.0,116.59397666363522,0.4539549010311186,3.9265196354560232
6,24.0,3.0,117.90595462880667,-3.5906863195394227,3.439146592691461
7,32.0,3.0,118.28429133926234,-1.5552137926631784,5.440746852259782
8,29.0,2.0,117.57432460746091,-1.80420624690917,4.816550684048921
9,40.0,2.0,110.60545578673351,1.1520304170434863,7.438817132084928
10,40.0,3.0,118.86970035409504,0.9755601611635254,6.365954088349476
11,38.0,4.0,106.59269924069275,2.3060192557067922,6.864496227740263
12,26.0,2.0,123.05586749811746,-3.7949862757715764,3.7897817617595466
13,31.0,3.0,126.00301775237452,-1.4811911275156118,4.54758597754026
14,35.0,4.0,121.71735353206076,-0.07396868374938634,3.9758626231033056
15,38.0,2.0,125.87723403404273,-0.39765871633074223,5.432875134111697
16,31.0,0.0,127.38600201872534,-2.7909011702091457,4.547246609596955
17,43.0,2.0,120.18007577840332,2.064538639714711,7.56543592993102
18,32.0,2.0,108.11495647861042,-1.1758476661085226,5.2151735800081305
19,36.0,3.0,121.60518172768388,1.469383274191236,6.2747571225474905
20,30.0,2.0,121.96112971148898,-1.7615275492664844,4.237526016721978
21,41.0,1.0,129.75918793804212,1.747557473734675,7.83545763097723
22,35.0,1.0,123.04966220677457,0.9331166074565012,6.331528116567694
23,38.0,2.0,121.73233842349408,-0.15020145291262377,4.767900426197556
24,41.0,5.0,106.33858520247044,3.8463995289258963,7.296536751708064
25,35.0,1.0,115.5671170305527,-0.7529221436760893,6.499372136763618
26,36.0,1.0,130.11474920256126,-0.4506421557443454,6.437013165936181
27,39.0,1.0,120.8388332179931,-0.44702627458493177,6.109729333418072
28,34.0,1.0,124.03764829997803,-1.8751271107370322,5.363230483676421
29,32.0,1.0,116.65174736262136,-1.9048888255131178,4.442551922983873
30,31.0,3.0,117.35132795221247,-2.1576420837456083,5.175339327443615
31,36.0,1.0,106.46694481546952,0.628746421927951,6.422525898601646
32,33.0,5.0,118.25937201531907,-1.455144352376223,4.143573524890423
33,39.0,1.0,118.82161841934216,0.6405656189226362,5.507961456867085
34,28.0,4.0,116.64781040119385,-2.1581677055333737,4.204467376628386
35,38.0,4.0,106.68029513714865,2.3643057547030812,6.089055803861011
36,43.0,3.0,110.61459098529417,0.20192629065246856,6.328017400037385
37,32.0,3.0,107.70597677572658,-0.6937335353090545,5.045321280630065
38,39.0,4.0,111.78680329065499,1.6730580742423058,6.189954984560285
39,38.0,1.0,115.45586740542062,-0.8017787348117935,6.6129454781180215
