,CO2,CO2 bad,Norwegian Balance,Norwegian export,Germany,Platforms
0,67.30270143969487,68.89044206993304,6.212373437031346,-0.0,7.56502848115749,5.773602291775161
1,71.91654021572309,73.75895881966723,8.428527330331445,-0.0,9.11448608454999,6.699704014342322
2,69.3860276465011,70.5093910539859,2.2813624739354115,-0.0,5.748752963946309,4.084957845399253
3,87.6971340387585,88.60304133128218,1.884734111565142,-0.0,6.352564424171764,3.294208336449792
4,77.71882334981292,79.26708541215731,5.286369921165526,-0.0,7.461236588850301,5.630043863070505
5,75.74293607181055,76.87157109157324,3.9725957949368853,-0.0,5.26018067636319,4.1041273445915785
6,74.0539735741965,74.92360115713299,-0.5091284387862142,-0.0,5.301995603695711,3.162282119769045
7,74.89878468302057,76.17650698113167,3.673025518857522,-0.0,6.1097171313974235,4.646262902222191
8,72.28818127135683,73.32744220390074,1.6187404122944313,-0.0,6.1534909832847475,3.779130663796035
9,65.97435883327049,67.64583195328792,5.530494741359312,-0.0,7.636766521235602,6.078084072790663
10,74.82595160024046,76.1572766285269,5.674746762666167,-0.0,7.193402591166464,4.841181921041592
11,64.57249907277564,66.16018893627988,8.685244966460838,-0.0,6.661567098969452,5.773417685469942
12,80.11481616357564,80.95026267052401,1.7815711460020576,-0.0,5.109703229162981,3.037987297994104
13,81.6897426216387,82.70547411398798,0.20939895190650085,-0.0,6.61486336847845,3.693569063088281
14,79.9050117073421,80.777582799876,2.941220847017628,-0.0,5.656431607331724,3.172985791032411
15,81.9804199379379,83.26638135883776,3.4053835108725385,-0.0,5.742079663463599,4.676223348726806
16,83.45758569546848,84.42164466457702,1.3942090824874647,-0.0,5.503143202556573,3.5056689785765043
17,75.14794972770521,76.67224013467086,8.510532621109522,-0.0,7.560488672294525,5.542874207147771
18,63.10153210809744,64.45421611281772,3.070437543783697,-0.0,5.8852065753814315,4.918850926255573
19,75.95730894093533,77.6292905596086,2.846161166046688,-0.0,8.712013674842314,6.0799331588119
20,79.58650663696268,80.58478486383268,1.5589325390497881,-0.0,5.89120464418146,3.6301026431636956
21,85.71607219877382,87.34221653191946,5.80886703561857,-0.0,8.081528590510676,5.913252120529621
22,77.86375158663822,79.17193291159646,2.3539302778822857,-0.0,7.751063461154399,4.757022999848104
23,77.13967923243608,78.36853631866398,3.4551702492883645,-0.0,6.2906061251091385,4.468571222646949
24,63.27307282774136,64.90800328421622,8.82437928508378,-0.0,7.501089478850515,5.945201659908593
25,69.23604663807295,70.61095248491205,3.0295041206002216,-0.0,7.224125462828313,4.999657624869432
26,85.27470057662183,86.4061119735235,2.2159893724883113,-0.0,7.644535982632385,4.114223261460627
27,75.88822587084414,76.96684202951349,3.954420161712877,-0.0,6.402597419768023,3.922240576979502
28,77.7418154229044,78.60719533717722,1.2294182564007468,-0.0,6.62171426375848,3.146836051901202
29,73.41910093213914,74.53633273380412,2.036014100684245,-0.0,5.041714642464598,4.062661096963516
