,CO2,CO2 nowind,Norwegian Balance nowind,Norwegian Balance,German wind surplus,German wind to Norway,wind NO,wind DE,load NO,load DE,water NO,solar DE
0,112.62154792981323,112.48234893070256,-4.297607642920164,8.356846821685807,1.68346378715258,0.896898106614273,12.65445446460597,173.0130018539613,141.3814951780706,348.9948088303262,137.08388753515044,48.119627113170694
1,126.3648113862954,126.21973497135232,0.4680345247843261,13.656799519609224,0.0,0.0,13.188764994824897,155.05957287467302,136.4671627287689,348.1593348069241,136.9351972535532,43.63972365477881
2,116.62304082193229,116.49044246515139,-9.139988864422262,2.9144072065700755,0.34128550514294487,0.2352,12.05439607099234,158.30926908230617,145.70963673879706,336.63749536878674,136.56964787437482,42.907090423387075
3,131.69084748565618,131.5608100376476,-8.698579155282344,3.123007027316414,1.6598340634154136,0.7056,11.821586182598757,153.26427727855182,148.1024579112821,352.0279284359067,139.40387875599978,43.4663263988257
4,122.74787765152088,122.6145232046809,-3.1729236709092823,8.950207859997137,1.7833828029858536,0.5398199594757007,12.123131530906418,153.78031709898326,141.23523618214975,340.77209052999996,138.06231251124046,44.45404175951496
5,118.78396659528988,118.65691334592941,-7.169820859919913,4.380474536487141,4.583918026184822,0.9604226862469865,11.550295396407055,169.1172748778831,146.3979604671094,345.0363282772681,139.2281396071895,41.85950488975135
6,120.02349662615708,119.89284097833581,-12.029325892418033,-0.15153972684796177,1.7560454146834807,0.6286743144811783,11.877786165570072,168.4548963820722,152.38870371305072,348.3905703334133,140.35937782063263,41.29067052706152
7,122.0312588455292,121.89068543578851,-8.893867825919143,3.8855330595966038,2.3791820501112055,0.6339512124380748,12.779400885515745,166.5658245026508,148.13631562819515,351.55767336324413,139.24244780227602,44.28769871241011
8,120.70088345874981,120.57051471206069,-8.839359807326968,3.0123444371397503,2.062136540748095,0.4449881936290646,11.851704244466719,160.29494059858013,147.92176034362328,346.9125762191825,139.08240053629635,47.56203918507334
9,115.53327842593359,115.39272285523379,-4.186931605400672,8.590847549128414,2.049612765759697,0.2352,12.777779154529085,163.94467738647347,141.9620576767696,342.37594839795065,137.77512607136893,46.618495773301845
10,122.92348200700212,122.78363326325132,-5.3720079096526,7.341514249513,0.03739597267960664,0.03739597267960664,12.7135221591656,156.07881769757634,143.65456413588967,345.53224516519396,138.28255622623706,45.00798412524549
11,111.15283880963551,111.00682719593661,-4.103267580088628,9.170515483447057,1.912771619211167,0.7056,13.273783063535681,164.01937877609168,141.59911591587874,342.15368951455497,137.49584833579013,52.744137470422835
12,125.43042423554965,125.29115510790356,-12.666034300020032,-0.005204514012030558,1.2446987673583767,0.3323750216630697,12.660829786008007,158.77883909213082,151.0055811449945,351.4221518268679,138.33954684497448,45.97826418691648
13,128.92062473601845,128.79283716643792,-8.55065693002252,3.066394850024647,3.696491756618007,0.7056,11.617051780047166,157.44775942119244,147.39400622861805,354.9259741383293,138.84334929859548,48.484354172413404
14,124.29406690848322,124.16775087153964,-7.581382146425537,3.9018939393539203,2.261463081393995,0.9051587573243659,11.483276085779456,149.39810411575576,143.01927320102303,343.8004492438983,135.43789105459746,50.395333633209596
15,129.19759728837823,129.06532417526688,-6.989612046886412,5.035216417780952,2.4592827101793766,0.4704,12.024828464667365,156.1564267047812,145.62604884560835,355.61129726930653,138.63643679872195,48.836967223116176
16,130.45311985689847,130.3195559443203,-10.385828431353247,1.7563454393878088,0.0,0.0,12.142173870741054,152.8781765662816,149.34524486432846,357.4547730294219,138.95941643297525,49.74827138318527
17,125.0298176829512,124.87924763952208,-4.058211196637525,9.629974569645732,2.8566665095393176,0.4704,13.688185766283256,169.21643870955384,142.6554593617732,359.765386072916,138.5972481651357,46.262453994237305
18,111.48263226178534,111.34823640693666,-8.178479072343904,4.0393259138996065,4.042281086841416,0.4704,12.21780498624351,170.15832630497684,147.47306351940964,340.3176238962897,139.29458444706574,46.14126260939569
19,125.65245377954524,125.5093875225491,-5.261882966547381,7.744140396738724,1.3172509895935403,0.24179955779322143,13.006023363286104,152.66717534285758,145.97067538865238,347.0516894491002,140.708792422105,47.55140009495444
20,124.62813516976793,124.49691000029428,-9.453562393785473,2.475998467455495,3.009190694083481,0.32403589864898286,11.929560861240967,156.61956382218767,148.14387369415414,349.3863432328406,138.69031130036862,49.16237370562289
21,134.9400260925881,134.79778833198563,-3.347690404603587,9.583015104711906,6.592570957983246,0.2352,12.930705509315493,158.12591988798616,141.37462185114876,353.05131391899846,138.02693144654518,39.80934427037587
22,127.30399620139947,127.1802043778837,-3.9891574137728405,7.264644724024193,0.2517785269286642,0.2352,11.253802137797031,155.8440366122717,140.63825333312988,352.24612475474584,136.64909591935705,45.99503370481972
23,125.06948058190436,124.93631602182987,-7.488170124397156,4.617698973284933,1.2577680069608008,0.4704,12.105869097682092,167.28724344296822,146.04418400280096,356.17880372525275,138.5560138784038,42.6669425221462
24,110.79211441677963,110.6536248332129,-1.4470258617959928,11.142936280633956,5.1191788193347,0.9408,12.589962142429954,177.81816897583815,138.06301613885606,344.8731922052375,136.6159902770601,45.07341064559079
25,119.77601941679974,119.63968037393248,-6.648008449391158,5.746449993087531,0.8831669833059386,0.2352,12.394458442478685,156.03314878674732,145.40701943449363,344.53815234724414,138.75901098510244,49.638632828745656
26,134.39143636316473,134.26073322673687,-5.895732301431694,5.986371010191834,1.3187995035777018,0.2352,11.882103311623526,144.74812064883247,142.71265259053573,349.84935408083345,136.81692028910402,45.5957838933524
