,CO2,Norwegian Balance,Norwegian export,CO2 bad,Germany,Platforms
7269,123.00557424903015,-12.249486606522204,1.186530055971072,123.07574300056109,1.5517395531725184,0.2551590964761877
7270,115.20730064663724,-10.528219527284387,1.530356969721791,115.29617901151839,1.8783751212357012,0.32319405411324115
7271,128.4145622705021,-13.048298476983524,1.4919808751689778,128.4906097893981,2.054185831410529,0.2765364323491294
7272,111.48038706712637,-8.426075006489832,1.4064335505217616,111.57768456771373,1.7606478729956734,0.35380909304493585
7273,120.24088982081207,-8.36025671196067,2.117558422619619,120.39365994316752,2.2239485014886378,0.5555277176562042
7274,124.96859383456037,-11.640815061248695,1.9806621726313178,125.05441291751447,2.3061650639997517,0.31206939256036875
7275,127.86248594657674,-7.95122893021339,3.2667072476573966,127.99841502722622,3.5279078852745265,0.494287565998076
7276,113.74348669396429,-6.9555693280577975,1.313844098684091,113.88438526746742,1.8849558937498865,0.5123584491023214
7277,121.91770822932232,-10.748655668609086,1.7989892952746265,121.99872094996782,2.161334768158567,0.29459171143825946
7278,128.193231041438,-8.213670207125176,3.5974555974238798,128.45945885521186,3.6298508175526862,0.9681011409959217
7279,115.67306243252762,-7.000426143683055,1.660664891245822,115.83882029549096,2.3899879520201575,0.6027558653212598
7280,124.49560272930226,-10.937726238575042,2.6403254276189028,124.66617683032086,3.2703369668226085,0.6202694582494429
7281,119.8279151973383,-8.136043440435834,1.861543958590968,119.94348663362969,2.1930027606614195,0.42025976833230305
7282,126.79010077345,-11.159731476503039,1.1700399078396564,126.82442059356528,1.7483419124476736,0.12479934587370177
7283,120.21852364165682,-9.241806370396276,3.204522963266086,120.42745261747919,3.468832815102781,0.7597417302631471
7284,103.91827689816796,-9.084156328542065,0.4264517839576895,104.05924146124914,1.744253266457816,0.5125984112043537
7285,120.73350360726715,-7.3743773786431275,3.638121159339908,120.92366646004669,3.8807511013729123,0.6915012828347097
7286,124.61330597178929,-11.348731652028727,2.312380912362501,124.6825539962719,2.4090298667443757,0.2518109981186172
7287,112.74015672873726,-13.083181378246364,3.0626606455847645,112.85483718272542,3.1217956133055265,0.4170198326842236
7288,122.86200428623006,-12.33584957207166,1.59523669436895,122.91313605463266,1.9400108596505024,0.18593370328215467
7289,125.59110705727481,-11.93766669177726,1.5486660102729133,125.61213548361806,1.5293400976908729,0.07646700488454371
7290,132.7239289894377,-8.668681041942977,1.5516318248166152,132.81382429678337,1.9977053598105228,0.32689202671154044
7291,126.54118430569652,-8.777386783492766,1.1711418629131194,126.6158056880165,1.4542512477568534,0.2713504811635643
7292,116.86638560148423,-10.656107068758423,1.4981210287803304,116.93860651222731,1.5242706051728254,0.26262149361121234
7293,109.18782639689749,-10.114457943743686,1.5894870318789092,109.28563632233353,2.2055676103441844,0.35567245613103743
7294,123.22084643441796,-9.74944717856201,1.6762187709370833,123.34260785489735,2.0891063928044917,0.4427688017432596
7295,118.77042067393322,-9.864562315594252,0.7527907470941954,118.88603279071508,1.3239016400794834,0.42040769738858963
7296,117.2872974780825,-12.995659760162052,1.1596573961765932,117.35880139164654,1.8588204153448418,0.26001423114197353
7297,121.42376530927898,-10.647114040655024,0.46317140316758676,121.48282094034823,0.8645488330092075,0.21474774934276808
7298,117.87359570538405,-8.158778326031687,2.9753336965224735,118.02368959341344,3.2511030116963497,0.5457959564704613
7299,120.13866153449428,-9.688282725007765,1.1439089162237173,120.19268909174359,1.5508913636019952,0.1964638445429491
7300,129.36478897867877,-8.862739366619182,2.0493942064569746,129.4291455947066,1.9469244961341257,0.23402405828295234
7301,118.8488934146285,-7.321645122213636,2.0044156148396226,119.09511422538324,2.5409988340976417,0.8953484027444446
7302,130.57548011857386,-11.90404047807841,1.179525394919861,130.7175775054106,1.7573531251738677,0.5167177703153137
7303,121.1760986220826,-6.661202447349016,1.6960190539294113,121.41279210474607,2.6725581012329402,0.8607035733217362
7304,122.4643508314146,-9.294672932071759,1.451169752374626,122.48473949529928,1.4828119188856943,0.07414059594428478
7305,116.40172324870537,-11.056380975616927,2.7024493876678246,116.51373511270486,2.779594918284433,0.40731586908909284
7306,124.25715247457508,-7.514311771076161,2.8857868158641176,124.34058540227564,2.741497475070911,0.303392464365691
7307,122.45222725782818,-11.926709412346739,1.5207762942285552,122.53095220514126,1.4447374795171273,0.28627253568389355
