,Days NO to DE,Days DE to NO,CO2,Norwegian Balance,Norwegian export
0,39.0,13.0,73.70226735138851,11.909643002712999,5.304577326858679
1,44.0,6.0,78.1098942984019,15.423960090743448,8.360036625780918
2,35.0,12.0,73.98546815063135,6.20775277347843,4.2359720847909665
3,36.0,9.0,91.6511562903101,4.592451632850321,5.4858807353454155
4,37.0,10.0,83.29284766484241,10.704234270605111,6.254891728120119
5,32.0,13.0,80.76590668901163,7.760737925897475,3.2759929010559006
6,31.0,10.0,78.2584760965772,2.3357890903075984,4.206219545466396
7,32.0,12.0,79.76710023506173,8.322789151687076,4.066492657626127
8,35.0,10.0,76.5530611515569,4.6935152663598005,5.337804583643189
9,39.0,11.0,72.7933395631116,11.462423485884532,6.137740433187894
10,38.0,10.0,80.16672387177165,10.751577579933437,5.355879161774313
11,33.0,14.0,71.26322352079009,14.75398502962805,4.25901351595478
12,31.0,11.0,83.67684911310668,4.581934286375591,3.4884154178035276
13,36.0,5.0,85.23226862776495,3.6135430512653044,6.135239035812054
14,39.0,9.0,83.86157587519125,5.936778190731608,4.790926981351826
15,38.0,10.0,87.0864314057873,7.903838563015622,4.619689860440942
16,37.0,8.0,87.40469870516299,5.00336202522056,4.125218354324011
17,42.0,10.0,81.5357564657411,13.908334409112202,6.148314995627766
18,34.0,13.0,68.98972254223898,7.492440539331052,4.195703702473199
19,42.0,8.0,81.52682609878407,8.78940876547184,8.003753063745616
20,37.0,9.0,84.13976285536084,5.0027420621063055,4.600041166613973
21,40.0,7.0,91.48965763044853,11.633892271308103,7.254459085377639
22,39.0,9.0,82.11480670065912,7.19956460361217,6.715229512991843
23,36.0,12.0,82.81817206509135,7.803259734310975,4.399582938957639
24,35.0,15.0,70.60705758060686,14.992350402761133,5.176651212729344
25,37.0,10.0,74.96410795485966,8.121620654860537,5.729796378630222
26,42.0,6.0,89.52525343949537,6.428200990185681,7.055131625481552
27,38.0,10.0,80.43941251863369,7.499980196674922,5.3063056457532864
28,40.0,7.0,80.9346190971874,4.005050551732149,6.1829059033032765
29,32.0,13.0,77.7799339407541,5.756130773324347,3.442931253626166
30,33.0,12.0,80.32380229766558,7.664748957119346,4.086757924840286
31,34.0,17.0,70.35011693506625,11.44517243440703,3.330292954759199
32,35.0,14.0,83.58681405165532,6.0463773878521545,3.002593739422184
33,39.0,8.0,76.59322874678297,8.588904665048931,5.987894989252869
34,31.0,10.0,79.90276010661749,5.125538732828503,4.314801106283071
35,36.0,14.0,71.12123228206578,12.010179659556044,4.662511825326258
36,33.0,16.0,72.61507129520345,13.30979402596717,4.107812810090585
37,30.0,16.0,71.5130313237705,8.554295857020223,2.5771039967255702
38,41.0,11.0,70.64533367140766,10.465474439878564,6.743884104518783
39,35.0,11.0,77.35055697213942,8.016701579866115,5.235363154928304
40,35.0,14.0,81.13445712089373,4.010256097141176,2.9555288530078423
41,40.0,10.0,83.90625619851455,8.146216373175406,6.4145458312217185
42,38.0,12.0,79.06675963066778,12.393769166555494,5.301373848244801
43,38.0,10.0,81.52192473963012,7.024168360512655,5.071970702571634
44,36.0,9.0,87.8096201195052,4.86062716789492,4.014269203972928
45,37.0,8.0,87.26854835567505,6.717781501683439,5.186820734090867
46,37.0,11.0,81.15379779522601,8.95664849272669,5.353578463364465
47,40.0,12.0,76.75652849971704,10.246131808043897,6.27507572081052
48,37.0,10.0,83.80400749783234,9.631427483857712,5.75752205665307
49,37.0,10.0,78.41554773215614,5.550867986067643,5.437416457600325
50,32.0,13.0,74.00222713919325,7.368450987249421,4.165559778417798
51,34.0,10.0,78.9189171439132,8.637641439570926,3.865433481916484
52,38.0,11.0,76.00091767528615,13.763012960890316,6.356216836369586
53,36.0,10.0,85.14590273265617,8.471932870340117,5.9110270142706876
54,40.0,12.0,73.80028232992703,9.868400278371638,5.384140474834619
55,36.0,9.0,87.26081083453634,7.914146552580831,5.193338840805584
56,39.0,10.0,70.45179725475403,9.737735995074392,6.288155757195772
57,32.0,12.0,79.0692325010791,3.085630029737329,3.6516544366398924
58,30.0,12.0,87.22455156405687,8.021729890943423,3.4222938492421164
