,Days NO to DE,Days DE to NO,CO2,Norwegian Balance,Norwegian export
38,37.0,3.0,111.10467431452005,1.9100807727415792,5.952932286061011
39,38.0,1.0,115.28887540542063,-0.8017787348117928,6.6129454781180215
40,26.0,4.0,116.98038078015337,-3.0112331727312704,3.030744821863787
41,40.0,3.0,120.76591864870782,0.846978138591229,6.22020124031739
42,36.0,6.0,115.56340743330067,1.8200404995684685,5.734514169910895
43,33.0,2.0,118.97593848105275,-0.5972534176464568,4.613878308028804
44,28.0,3.0,126.01167048856898,-1.4398705601186026,3.0644788713726774
45,31.0,1.0,125.23696745581002,-0.9283364615983144,5.462669591442066
46,40.0,2.0,119.55333060660777,0.37304546159922286,5.977488767210048
47,44.0,2.0,115.5330676406487,1.5267959568763345,6.981031044892785
48,38.0,2.0,123.63347500006573,1.0081624847259387,6.464433228058297
49,34.0,0.0,117.96627237274625,-1.8888087523326984,5.3034227052940714
50,29.0,4.0,111.46780103243374,-2.0072940861909827,4.803448896578315
51,32.0,5.0,114.63027141599555,0.7466191245195023,4.157362816695736
52,43.0,1.0,114.05920813392497,3.0081274870771617,8.356951736256388
53,35.0,3.0,123.18261775244672,0.7488957124091056,5.8054244044207355
54,37.0,3.0,109.25681536670945,0.5156873472575643,5.971712345231002
55,35.0,1.0,125.53970848861235,-0.9086848640229022,5.472124195339084
56,35.0,2.0,109.49174702579529,1.2034922417233072,5.9628453432897235
57,31.0,0.0,120.29418872940124,-4.503176051859687,4.352771052718625
58,36.0,1.0,124.27113793606559,-1.429540569774161,5.704157765257636
59,35.0,0.0,110.25312005191647,-2.357878423662443,5.625357523038683
60,39.0,5.0,115.71159343767523,1.7840615656615202,4.986748556095288
61,36.0,1.0,118.71729780476511,-1.8217878368420433,5.338982297565184
62,43.0,5.0,117.5094932085303,2.999488373209499,5.173444105413975
63,30.0,1.0,123.29666530437623,-4.959176213212576,4.385719727226242
64,24.0,1.0,128.29292954461502,-3.112036584270008,4.048495079631913
65,38.0,3.0,119.5502474703343,2.1885578508079435,5.7719251123982716
66,38.0,2.0,112.7807078051321,1.9817978503340445,6.966709448275735
67,41.0,1.0,122.64976180862273,0.6150928609819387,6.405143368607838
68,31.0,2.0,123.01588462001436,-2.8282195355808506,4.653248477719981
69,34.0,1.0,126.51738003981608,-1.6552067754466426,5.2153513341162
70,31.0,2.0,121.70363437563586,-1.028747140249244,4.11730131638467
71,42.0,3.0,117.47951708820061,3.31440897313625,7.09851373592685
72,39.0,2.0,125.5035435293459,0.9446614274018449,4.870620530356961
73,34.0,3.0,122.43476553444388,0.048185748485799644,5.0820814983377804
74,45.0,1.0,120.19727972897743,2.02189560458624,8.341118800260592
75,36.0,1.0,122.91201852980792,1.7095526519023732,6.458132408709709
76,45.0,3.0,120.09715543923471,1.146182356834122,6.562263093454644
77,33.0,4.0,109.62039238872616,-0.8113748463951356,4.430658433455662
78,43.0,3.0,119.65166210903337,0.9716132501466458,7.082397819500178
79,30.0,4.0,126.89267594316125,-0.8021937626031581,3.9373777764468785
80,33.0,3.0,122.13005654640583,1.1087564074557053,5.683903269382713
81,40.0,3.0,106.30700900604872,1.6492904909381807,6.692493884906059
82,33.0,1.0,115.34185207403654,-0.36143197547659184,5.760587289752374
83,29.0,2.0,130.58003620605058,-2.2970423429061606,2.8272255044569703
84,34.0,4.0,114.09836946440711,0.9925770106697815,4.379886669064257
85,37.0,4.0,111.43998253176659,0.6094244268199294,4.865493275693404
86,42.0,0.0,121.88921997529434,0.27502297780932206,6.590343498602494
87,39.0,0.0,121.38733134253839,0.9925680959910743,6.661700334664345
88,38.0,0.0,127.84914725224381,0.6843307706498187,6.394655757897369
89,43.0,3.0,120.4521041328467,1.9648741912119394,5.626179735083862
90,30.0,5.0,106.12210105188719,0.5160179445105665,4.410561111221855
91,36.0,3.0,122.68950697305002,0.15525804334019405,5.273215573669432
92,35.0,2.0,111.7162996624656,0.703113467552041,6.752006530370383
93,32.0,3.0,133.30487654551405,-0.7558278574628494,5.222506072811777
94,36.0,2.0,113.27699986748175,-0.31990570064562934,4.563588030928964
95,47.0,0.0,116.13270792149892,1.9889101323830864,8.85427339688469
96,27.0,5.0,120.91085646327888,-2.8497674847722028,3.2958621040031173
97,44.0,2.0,117.32523310102613,2.32863801089335,8.193698599448359
98,30.0,1.0,118.22908964122128,-1.992890575222663,4.985177792548873
99,25.0,3.0,115.58440090798581,-4.529980062624237,2.812045845986848
100,39.0,1.0,122.52836262945766,1.2926477312454838,6.780821562314095
101,34.0,1.0,124.10036411495643,-0.7762503576748457,5.312277308186462
102,34.0,2.0,117.88662205040221,-1.0402049837641787,4.440565206866579
103,21.0,0.0,127.35699267548718,-9.829301582144348,4.274473566991068
104,35.0,1.0,116.96292258386696,-1.5596799758377944,5.998461283540057
105,37.0,1.0,117.33898796568225,-0.7365512656015083,6.361094021069005
106,27.0,2.0,129.34578164444227,-3.6107539935935926,4.327851571290864
107,44.0,2.0,124.6414904123336,2.628602136040097,7.305985678412711
108,40.0,3.0,115.94390861029919,1.5443395574305954,6.204752938129606
109,37.0,2.0,115.63974247035821,-1.5107033340219669,5.47936563017722
110,37.0,3.0,124.37033468879555,1.7718596217150442,5.97271890112667
111,34.0,0.0,122.39927592491546,-2.6457843072125273,5.033610738069695
112,42.0,1.0,126.55010397952684,0.47193372589784094,7.038616502288538
113,35.0,3.0,110.2639922071414,0.2861780545283919,5.760489625860078
114,42.0,2.0,121.84934606570012,4.2065211949744725,7.442683982459508
115,40.0,3.0,116.5382259105708,2.359478792536148,6.85621560756214
116,40.0,0.0,132.315791104164,-0.6606274683360197,6.482662791144984
117,35.0,1.0,127.92633717486014,0.34060010464145385,5.444663999652232
118,35.0,4.0,117.37426164788819,0.18034988276520209,5.767674609958475
119,36.0,0.0,126.85796549018302,1.4613187909816403,5.719393714435295
120,35.0,1.0,114.60587738636995,0.45499463402433044,5.712901640852394
121,39.0,1.0,111.27692043397491,-1.466917274727888,5.546442516954793
122,38.0,4.0,119.19488920565344,1.5265480426355706,5.815375790113829
123,29.0,3.0,122.69705174211799,-1.2464105968460952,3.904610332504684
124,36.0,0.0,120.98255076894384,-1.3294825722285313,5.5698869203360175
125,46.0,3.0,116.76039422471781,4.134186248547564,7.303908301910325
126,35.0,0.0,127.34947132707099,-1.990324345765632,6.544055948533342
127,37.0,1.0,118.0810869652114,-2.4120153128901936,5.340097121959547
128,42.0,1.0,128.1770060259774,0.26775089845828387,6.903400284558268
129,37.0,7.0,106.53899116053901,2.368872907019399,4.543735391047865
130,35.0,0.0,117.22185178135105,-0.8007365149105335,5.660605694546597
131,32.0,2.0,134.49084753723713,-1.9954730424935814,4.631217604944893
132,35.0,1.0,127.51165976526613,-1.366063890306137,4.7366460875669665
133,37.0,2.0,111.44973195649199,1.7231632516381883,6.803783327620407
134,34.0,2.0,130.81730127830804,-1.5223222069347855,4.66213868538767
135,43.0,3.0,117.16599656512459,2.8052050053467465,7.662786081748774
136,33.0,0.0,124.56431395795738,-1.468606200823336,4.956439684226771
137,37.0,0.0,121.74167192432694,0.06677606097362004,6.485833432888309
138,38.0,2.0,125.61526926078542,0.2319847897764179,5.504576162683997
139,37.0,0.0,117.20694063868999,-1.125611293171929,5.971026479648324
140,35.0,2.0,114.36402025227433,-0.9396251792466419,4.5055939785258365
141,41.0,4.0,109.97430348177978,1.8529520534312958,5.717674152844966
142,27.0,4.0,112.96897472244319,-0.6694808319186405,3.532171762505981
143,37.0,0.0,123.9952442990541,-0.2549871491111545,6.3380074405264715
144,35.0,2.0,104.5912446719856,-0.8470626166454288,5.491657049541246
145,34.0,2.0,112.88020621421687,-1.5561946498277075,4.563500356510848
146,32.0,3.0,113.89408858536915,1.4095791631604608,5.692813691581966
147,31.0,2.0,121.32128285862922,-1.9405243667075132,4.9204777558582
148,30.0,1.0,127.22858414384628,-4.6002101106194475,3.3736687478767764
149,43.0,1.0,112.0373278741466,1.0067107618054147,6.486356634374546
150,26.0,4.0,121.8883918088282,-1.3063562053202225,3.947912357037658
151,32.0,2.0,123.1100517467553,-1.3854091252250365,5.281327095558154
152,31.0,1.0,113.11333956630936,-2.510353123585935,5.946277364612495
153,40.0,1.0,124.23479437320364,1.9117255793253893,7.065088586471466
154,38.0,0.0,125.38757048433746,-0.6816591228478838,6.5649809497972855
155,37.0,0.0,134.65412325294105,0.027372372320812893,5.920025796755432
156,29.0,0.0,117.70279593864637,-2.0948896175627585,5.4224562363938
157,26.0,2.0,116.20664173207216,-2.917162806552228,4.440489088384749
158,34.0,4.0,117.94701151466165,0.6602078392199494,4.789437796940545
159,43.0,3.0,115.79407635154539,0.995565166608802,6.904106169029186
160,47.0,0.0,121.15803504264615,2.4511315523628845,8.676794803621052
161,39.0,2.0,118.10806574300138,1.9263412140920644,6.955803895802083
162,35.0,0.0,130.05801097751348,-1.0236951064688715,6.799554296122285
163,25.0,2.0,109.53333892022717,-1.953771398755419,3.383445958071021
164,29.0,2.0,121.87145218536743,-3.035849454214691,4.602815103526384
165,42.0,3.0,100.03400079798269,1.6884046993597694,6.081642572847305
166,36.0,3.0,114.89663700423894,0.6431591751103131,5.9097909517691285
167,36.0,3.0,113.31256953267523,0.49907788646148354,5.947283654905715
168,36.0,3.0,119.12388763988632,1.7228860534757764,5.207649497463584
169,39.0,0.0,120.9640692718542,0.25647316981835755,6.613079769373454
170,45.0,2.0,117.64546787719243,2.9556909913021485,7.783066140542278
171,32.0,4.0,116.76605136293271,1.7434053173424253,4.6640767361663675
172,31.0,1.0,121.4063373754684,-1.0542652202750482,4.276071665505767
173,37.0,1.0,111.5267322390409,0.8805150413932347,6.659893711659618
174,28.0,2.0,120.68135420552403,-2.082243663000174,5.092205831829754
175,33.0,2.0,120.04224895039208,-1.429172185716488,5.463372679209049
176,41.0,2.0,120.27354458915592,0.8783173699126462,6.954587662240814
177,35.0,3.0,124.14856744493886,0.60742380617359,5.388203540550599
178,34.0,3.0,112.8727390155212,0.7360553980913831,6.0133116798301804
179,42.0,3.0,105.84508030633073,1.2458536326716612,7.518016459899969
180,26.0,3.0,119.29372032061869,-3.079165618663481,4.046332672024151
181,27.0,4.0,111.2271415590381,-4.443132209111245,3.1201115566735207
182,36.0,1.0,123.09987982351562,0.32290722641867076,6.477317243478745
183,38.0,3.0,108.97324339591091,-0.10253275227124849,6.683789364990583
184,37.0,2.0,127.88762222787513,0.7451890058619962,5.639560969837839
185,25.0,4.0,127.21631067921834,-2.218466777060912,3.7103741815469866
186,31.0,0.0,122.6230454356321,-1.995544941343314,5.637599192482207
187,34.0,0.0,118.86809494415812,-2.3485065224146395,5.278220960395415
188,33.0,3.0,128.74662550168998,0.6982031850133459,4.328513998446903
189,36.0,1.0,123.20190293579347,0.35721208949458205,6.25105485696663
190,36.0,2.0,103.15730084936503,0.06091155539932545,5.917012549180902
191,33.0,0.0,126.956282588438,-1.7026069234989434,5.5451790418288995
192,32.0,2.0,122.0108071922499,-1.4968663899124692,4.653756896055948
193,40.0,4.0,110.26726276586378,1.694520014352832,6.798441050361605
194,37.0,2.0,108.77482025203058,1.756429170301726,6.5037854024988695
195,29.0,3.0,120.5444082004067,-1.7437009159975723,4.353741306795489
196,31.0,2.0,117.11317898927796,-3.4787132348681307,3.872789576351534
197,27.0,2.0,117.38156409601355,-1.1285011465479569,4.357009059697704
198,30.0,0.0,125.79617214424717,-1.736340654795418,3.5273628639013244
199,42.0,3.0,109.16020430571841,2.5626964857927295,7.44096455553296
200,33.0,1.0,122.66095631849518,-1.5838184480445168,4.5545467659796195
201,41.0,2.0,121.22249144040188,0.6937534174386647,6.590510203472965
202,30.0,1.0,118.19077410658535,-1.6258208166349586,5.642293026097808
203,31.0,2.0,128.59726656265636,-1.92778838907801,4.397724967240712
204,35.0,2.0,123.07830543893863,1.432604080093403,5.841730547052454
205,35.0,1.0,120.35655849304489,-0.5092749708427191,6.187016002451394
206,41.0,2.0,119.40477951030287,0.08697192493093991,6.91771623305816
207,46.0,1.0,131.2787615671676,1.8681870827350426,7.796664164622538
208,36.0,2.0,116.99334472290778,2.5344775615929147,6.217017128869279
209,30.0,2.0,119.94433524494426,-0.4406672796398145,4.180916500724711
210,40.0,1.0,128.33429640496325,-0.4068493711364118,6.954930758769814
211,34.0,2.0,122.1005836260429,-2.320445146882635,4.806154105232302
212,33.0,1.0,122.40319610998314,-2.0145243676258326,5.998594599018709
213,34.0,4.0,115.10412861312781,-0.7151276671623986,5.3990395829053535
214,39.0,4.0,117.30259278113357,1.0167691723112002,5.352855803144704
215,34.0,2.0,128.56262719949197,-0.8530837060308815,5.962381404965266
216,31.0,5.0,108.0096728976705,-1.2730539757531232,4.116349094384965
217,29.0,2.0,118.24549186168854,-4.357034621158742,3.878595408474579
218,32.0,1.0,118.21615953770828,0.2195256247057228,5.59108836761145
219,31.0,1.0,110.5664111557852,-2.5592458463389076,5.416859925682196
220,33.0,2.0,122.0877516238352,-0.2219586124006477,5.413985063627688
221,36.0,2.0,115.60963717968332,0.5077194704279818,4.806394317808621
222,46.0,0.0,121.1209297774169,2.260517007420673,7.821855371081265
223,31.0,2.0,120.3651235383302,-0.32930600475851,4.165701296101383
224,36.0,1.0,112.596022278405,0.2225106942047961,4.377898786015935
225,36.0,0.0,122.90987650753561,-0.4164299110723175,5.769780836733873
226,42.0,1.0,109.08620553760124,0.5425921467073006,7.955068739634394
227,35.0,5.0,113.56499668879192,2.9520097909589462,5.837157068257072
228,41.0,2.0,122.53996125694567,3.0782481366820433,7.421495025348859
229,40.0,3.0,117.87231272207214,1.9833215634046941,5.835154939586829
230,42.0,0.0,124.76674112854356,-0.027767644000213594,5.861536745327424
231,30.0,2.0,123.75592050575449,-1.5822001300062905,4.858913291248001
232,37.0,2.0,116.24243095214274,-1.5293210449612122,6.3963724512128195
233,27.0,1.0,129.67179420581252,-3.5581520987394977,3.2156013885811294
234,38.0,1.0,122.43491766369604,-1.655153228820572,6.149783416955175
