,CO2,CO2 bad,Norwegian Balance
2761,111.98256842494544,113.54406875769459,0.16053740446910425
2762,120.92440140772723,122.46021062501693,0.4722421589414091
2763,117.10263341135885,118.59155855976378,0.23131222744376562
2764,119.76494719354584,121.36970022612667,0.2955472934483774
2765,114.82286710435346,116.67414452629443,2.3817257375723866
2766,117.38232069333293,119.08188680856661,1.3199574348372076
2767,124.0290416216905,125.47125430844899,-0.2340502138351053
2768,122.51021628879816,123.84257481058809,-1.06517280298474
2769,115.99475806822943,117.59733985773114,1.8520841526607648
2770,116.43285383069627,117.91123081870286,0.25732927867409333
2771,125.39372150428049,126.3768026756643,-2.5386469463367054
2772,118.97321450544608,120.07339786897973,-2.5138917965367984
2773,118.77789498138753,120.43104947594361,0.7282523708466014
2774,120.16329420363776,121.63500188499243,-1.8932195214375602
2775,128.32797723110696,129.82543286337204,0.9045602596051139
2776,122.38911169705788,124.09801943245223,1.6312506614664142
2777,120.24962470816085,121.40046513801619,-1.264200182125202
2778,121.94848812065865,123.79242079754503,3.000917644382969
2779,116.23568740929713,117.48024799364528,-2.371130456983475
2780,119.34914061871976,120.72503976684163,-1.475431823657732
2781,114.48712245445674,115.55970655343721,-4.728691985257644
2782,120.9487522356433,121.91798305716455,-5.419408536518761
2783,113.48260806124698,115.11370845153061,1.9232242471420733
2784,116.76250753776748,118.83048035128894,3.151897748628467
2785,127.7983476815074,129.4492359415573,1.0030933204517458
2786,120.82465332021903,122.40467781059448,1.3106697892635717
2787,114.59654932258616,116.27862292108611,0.9521995580848902
2788,116.85839634394975,118.42000506778575,-0.5253346896654233
2789,121.17524835001852,122.85351601335881,2.1259441856001744
2790,129.17805087346636,130.52022752230675,-1.2167592323872312
2791,113.96931454309252,115.56432660095317,0.07739907297111698
2792,113.34430690572508,114.86872784983495,1.2602788514452399
2793,111.37361609693478,113.82016029228615,7.10033792034029
2794,122.45562631137854,123.77962774966302,-1.5772585772533465
2795,116.98241101443128,118.42945517048256,-1.3269593077450361
2796,117.33074056382463,118.65645816613481,-2.5577330372984775
2797,104.80248311948569,106.92562601082204,2.9966510043418126
2798,112.47797550094496,114.03333005343204,0.7495480117307098
2799,116.16734153271321,117.49148939048668,-1.1476586922160108
2800,105.16200642370416,106.59839326673756,1.9202788395722845
2801,110.36089431100524,112.05931079589698,1.511143791831327
2802,110.1638621115297,112.00194685686947,2.0862649412324084
2803,111.85526503437154,113.60742659391929,1.8494554912548729
2804,116.29624796551352,117.75570102706185,0.044493704235075045
2805,109.24758467683834,111.24113653378757,2.761512657793067
2806,112.06298159363793,113.14445828260666,-6.4047016450855985
2807,118.20683187150082,119.80780102349786,0.02310570950555592
2808,120.5060011816524,122.3665583067098,1.5719967818740752
2809,117.52880759096035,119.07415597758768,-0.911840485111678
2810,120.5799492805805,122.33204425339507,0.7015103867519665
2811,115.33117341753103,117.18719677674694,1.993257028728917
2812,116.12917208961564,117.75005425610807,0.7385060539674237
2813,113.29217238845628,115.02751563048635,1.9230065027693384
2814,111.99987548830536,113.46409173947573,0.2736899331976087
2815,126.83795080507994,128.8073308791833,2.13393803012605
2816,124.8049506651949,126.15506682322248,-0.5849535960485479
2817,131.61485646105254,132.86115790387115,-0.44779571235565746
2818,127.81480403172606,129.22712707641224,-0.42177271577761277
2819,125.28483575307682,127.18087164625383,1.1097556713752048
2820,106.21910307205054,108.20077882287289,3.4849900084422347
2821,122.61268536184072,124.19911190025198,1.4797249276559623
2822,122.07234012510114,123.60442143580849,-0.5037031655415308
2823,124.44537390564828,125.8565462615212,0.4664425197321577
2824,112.9023246700281,114.08935386667746,-2.2655138811894435
2825,121.21865773379893,122.47997490663923,-1.146849406825523
2826,129.38094964181894,130.46625040880267,-2.448641426924253
2827,125.42261401898865,126.78757841453272,-0.5866383988137325
2828,113.95248690912248,115.91942867627046,2.6179278293472983
2829,120.15015679092217,121.53889731077743,-1.1446682357191624
2830,116.16158562717688,117.85058974449073,-0.7335063757766745
2831,116.7555907014706,118.4855963758143,0.974403451769446
2832,134.88261690797125,136.12004320304973,-0.6325126296705168
2833,118.6402675543386,120.53456632979217,0.883625430331849
2834,120.72107882507207,122.11015510960091,0.01121331937826611
2835,123.21177253958959,124.80775824005676,0.611788735296915
2836,120.28975903570966,121.73229631457994,-0.9328370890972233
2837,115.84686846266489,117.43899786613684,0.8656572263517661
2838,111.11399412091292,112.73667276792139,1.7479863256285808
2839,112.20416013237526,113.35065034052438,-2.3357841091016094
2840,109.58663663135034,111.3742855431682,2.031095005850117
2841,105.07096607751365,107.10668603939645,2.9231125677272045
2842,121.9721673583773,123.36749469951206,-0.4927624886096804
2843,121.50538153576001,122.93203407945677,-0.8169977880020195
